title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
1102,Boyfriend of the Dead,COMEDY,Ushio,TUESDAY,365,2044419,9.73,412767026,28716520,ONGOING,False,"She’s a smart, independent young woman who’s kicking ass and struggling to make her way through the middle of the zombie apocalypse. Just her luck: one day she goes out searching for food and shelter and ends up finding a boyfriend instead. And, oh yeah, because modern love isn’t hard enough…he’s UNDEAD!"
1099,GOSU,ACTION,"Giun Ryu,Mun Jeong Hoo",SUNDAY,22,731292,9.85,92911139,6248954,COMPLETED,True,"When his master dies, Gang Yong pledges to avenge his teacher at all costs. After training his martial arts skills in seclusion, Gang Yong sets off to hunt down the traitors and make them pay! But when he gets to town, he discovers they're... already dead? Well, what's he supposed to do now?!"
1098,Darbi,ACTION,Sherard Jackson,WEDNESDAY,151,347950,9.53,35209711,2390692,ONGOING,False,The misadventures of a blood-thirsty baby T-Rex.
1093,Winter Moon,FANTASY,"Merryweather,MAYUI","TUESDAY,SATURDAY",510,1808310,9.4,450907126,34129285,ONGOING,False,A gay sorceror and a seductive priestess cross paths in an Online RPG.
1052,Girls Have a Blog,SLICE_OF_LIFE,"Sarah Bollinger,Tara Kurtzhals","TUESDAY,SATURDAY",84,138546,9.18,6309816,700343,COMPLETED,False,"Creating comics, playing videos games, eating burgers - everything is better when it's with your best friend. Learn how to adult with Tara and Sarah every Saturday!"
1051,Warning Label,ROMANCE,Thomas F. Zahler,THURSDAY,40,133660,8.95,6929095,453741,COMPLETED,False,"Danielle was cursed by an ex-boyfriend, and now, anytime someone asks her out, they get the warning label. It’s scared a few people off, but even the ones who stay wind up bailing when the list turns out to be true."
1050,Assassin Roommate,ROMANCE,Monica Gallagher,TUESDAY,131,871299,9.28,71273794,3771236,COMPLETED,False,"A nerdy, introverted gal and an extroverted, former frat guy move into an apartment together after college -- it's a win-win situation for two people who want nothing to do with one another"
1049,Lookism,DRAMA,Taejun Pak,SUNDAY,393,2517093,9.78,568976629,39901955,ONGOING,False,"Daniel is an unattractive loner who wakes up in a different body. Now tall, handsome, and cooler than ever in his new form, Daniel aims to achieve everything he couldn't before. How far will he go to keep his body... and his secrets?"
1022,LUMINE,FANTASY,Emma Krogell,SUNDAY,148,3114244,9.82,332208494,20002601,HIATUS,False,"A runaway werewolf, Lumine, meets a witch boy named Kody and is being hired to work as his bodyguard. Lumine, being determined to befriend Kody, tries everything to get Kody to trust him, while Kody tries to keep Lumine away from him. Their life gets even more complicated after an unfortunate event that leaves them to try to survive on their own."
1021,Melvina's Therapy,HORROR,A.Rasen,THURSDAY,82,426859,9.72,26884959,2145393,COMPLETED,False,"Anxiety, loneliness, depression… with a regular therapy you can deal with these issues, but Melvina’s Therapy is about something deeper: creepy secrets remaining in the darkest space of your mind, waiting for you…
"
1020,Fantasy Sketch - The Game,SF,"Jaekyeong Um,Beom Sick Cheon",WEDNESDAY,33,52616,8.79,1623391,99410,COMPLETED,False,This video game would take you to the bottom of the world.
1019,Bite Me,THRILLER,AffectedMind,TUESDAY,110,433541,8.25,35683683,1425057,COMPLETED,False,"Tiana moved to Mainland to study and have peaceful life. Unfortunately Tyler, her schoolmate won't let this happen, as it turned he's a vampire and bites her. Soon the strange things start to happen. Tiana tries to push him away afraid he will abuse her. However affection towards him seem to be stronger. Will addiction turn into something more? Or after discovering the truth she will turn her back to him?"
1018,Dragnarok,FANTASY,"KPJ,Magmi",MONDAY,25,361793,9.48,10421503,443630,COMPLETED,False,"Dragnarok is a fantasy story set in Aradel, the world where humans and dragons used to live together in peace and harmony."
1005,Cherry Blossoms,ROMANCE,PARK SUBONG,FRIDAY,7,166035,9.24,2468712,153317,COMPLETED,False,The girl that you keep thinking of when it blossoms. Regretting not having been able to express your true feelings to her a year ago. Should have had the courage to hold her hands.
988,Late Bloomer,ROMANCE,zealforart,SATURDAY,31,325605,9.26,15700816,746887,COMPLETED,False,"Meet Mai, a woman born with a flower bud growing from her belly. The rare condition, Botanical Development has followed her from childhood into adulthood. In order to rid the bud it has to bloom and be deflowered. But the bud will only bloom once Mai has found a mate. Unfortunately Mai is awkward and inexperienced when it comes to the dating world. Join this eccentric twenty-six year old on her journey to becoming deflowered in Late Bloomer."
987,Power Ballad,SUPER_HERO,Molly Brooks,THURSDAY,26,38188,9.15,1193214,103018,COMPLETED,False,"As personal assistant to an international pop star, Meera Verma has her hands full trying to keep the gorgeous and talented Carina Peterson primped, polished, and mostly on time. As personal assistant to a Los Angeles-based masked vigilante, Meera has her hands full repairing body armor, stitching up knife wounds, and generally doing everything in her power to keep the mysterious and reckless Skeleton alive and out of trouble.
Carrie's just trying to make some music and fight some crime."
986,I Love Yoo,DRAMA,Quimchee,FRIDAY,191,4542128,9.76,560141253,32905303,ONGOING,False,"Dogged by pain and misfortune from the very beginning, Shin-Ae decides she wants nothing to do with people nor anything to do with romance. Although content with her unsocial, boring, loveless existence, her lifestyle is challenged after she ruins an unsuspecting strangers' clothes."
985,A Budgie's Life,SLICE_OF_LIFE,Muffin Girl,"MONDAY,SUNDAY",401,343179,9.79,67119919,7307843,COMPLETED,False,"When it comes to birds we think they are just fluttering little creatures who have no contact with humans whatsoever. But bird owners know that's not true! Like pet dogs and cats, birds have a personality of their own.."
961,My Dear Cold-Blooded King,ROMANCE,lifelight,SUNDAY,27,1961578,9.72,288388126,15559295,COMPLETED,True,"Born a humble peasant, Kihara Mei has lived simply day by day as a merchant in the capitol, and never assumed things would change. But, one fateful day would change the course of her life, when faced with a deadly challenge against dangerous royal assassins. Now, with the eyes of the dreaded Blood King upon her, her life of simplicity would now become a tangled web of secrecy, deceit, and desire."
960,Shard,SUPERNATURAL,echorise,FRIDAY,80,207420,9.32,12979195,935985,COMPLETED,False,"When a witch is told she needs a virgin to complete a spell she sets out in search of the ideal candidate, but what happens when the victim - a geologist with all the makings of the perfect sacrifice - isn't quite as innocent as she thought?"
959,Rise from Ashes,SUPERNATURAL,Madeleine Rosca,WEDNESDAY,21,753393,9.7,50782284,4317033,COMPLETED,True,"The living and the dead have coexisted for a millennia, overseen by the Red Crows, a conclave of mediums who have power over the spirit world. However, in the early twentieth century, change is afoot…and a coming world war threatens the balance between mortals and ghosts! In the midst of this upheaval, one small ghost merely wishes to be left alone, and haunt her abandoned house in peace. But even the dead can have a great destiny that calls..."
958,My Giant Nerd Boyfriend,SLICE_OF_LIFE,fishball,"MONDAY,WEDNESDAY,FRIDAY",741,2238319,9.73,715206229,58567402,HIATUS,False,"Having a boyfriend who's a full foot taller than you might seem adorable at first, but it usually just ends up causing a whole bunch of minor inconveniences. Follow Fishball as she navigates the Malaysian life with her 6'5"" geeky boyfriend."
922,Illusions of Adulting,SLICE_OF_LIFE,Sara Zimmerman/Unearthed Comics,"MONDAY,THURSDAY",48,70393,5.93,4680605,164563,COMPLETED,False,"An ongoing dramatic, dark comedy about Hailey: A 20-something female who is trying so hard to live the California ""dream"" while colliding with the harsh reality of adult life."
921,Denma,SF,Youngsoon Yang,"WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",1410,82637,8.95,24869433,2770412,ONGOING,False,"Dike the Invincible Death is the #1 target for bounty hunters across planet Urano. After getting drugged by a mysterious woman in a bar, Dike wakes up in the body of Denma, a 12-year-old space courier. With Denma's powers as a Quanx, he journeys across the galaxy fighting futuristic societies, flying spaceships, and foiling insidious plots, all to get his body back."
919,Live with Yourself!,COMEDY,"Shen,Dave Mercier","TUESDAY,SUNDAY",373,638543,9.75,113622057,11476681,ONGOING,False,"An explosive time-space accident leaves happy-go-lucky 20-something Todd living with himself, himself, and himself. You get to watch the struggle."
908,Elf & Warrior,FANTASY,"AC Stuart,Victor Rosas II",WEDNESDAY,264,233950,9.68,27650560,2477368,COMPLETED,False,"Elf & Warrior follows the adventures of a young, optimistic Elf named Basri and his Uncle Hector, a reformed (sort of) criminal in a unique fantasy setting full of strange monsters and magic."
907,dustinteractive,COMEDY,Dustin Rogers,"MONDAY,WEDNESDAY,FRIDAY",664,326173,9.34,102964395,8263511,COMPLETED,False,Dustin squiggles about being Frank.
877,Firebrand,SUPERNATURAL,"Jessica Chobot& Erika Lewis,Claudia Aguirre",FRIDAY,57,166919,8.92,4891829,308854,COMPLETED,False,"Natali Presano never fit into her father’s perfectly human world: politically ambitious, he turned his back on her just when she needed him most. Losing her mother to tragedy as a young child, Natali fled the safety of home into the arms of her aunt Selena, the mysterious guardian of a magical order waging a centuries-old war for survival in the mountains of Spain. 
 
Natali, now in her 20s, has followed in her aunt’s footsteps, becoming a powerful but rebellious witch in her own right. Returning to Seattle, she finds herself caught between a cruel modern world and the ancient evil threatening to destroy it. "
867,Athena Complex,FANTASY,Kaisar,FRIDAY,149,542896,9.53,41939819,3005077,HIATUS,False,"Suffering from heartbreak after being rejected by Poseidon, goddess of wisdom Athena becomes human to seek revenge... but as a high school boy. There she plots to befriend Poseidon’s reincarnation, Adrian, who doesn’t have the slightest clue about the world of gods. But will her sweet vengeance be thwarted by other opposing forces, or will her own one-sided love hinder her plans?"
854,Big Jo,ROMANCE,Jungle Julia,MONDAY,169,552332,9.17,73838817,5550501,COMPLETED,False,"Jo doesn't take crap from no one. 

Being fat as a teenager isn't easy, even when you know you're awesome. Watch as the clever Joan Rodriguez deals with school, bullies and all those people trying to change her."
853,Adventures of God,COMEDY,"Teo,Corey","TUESDAY,SATURDAY",563,1526487,9.42,431382305,27125165,ONGOING,False,"In this slice of (eternal) life, you'll meet God, visit Heaven and learn that what goes on behind the pearly gates isn't exactly the way the good book describes it.  For starters, it's a pretty unhealthy work environment - what with God's ginormous, fragile ego and heavy drinking problem. The good news is that while heaven is a lot less holy than expected, it's much more hilarious too."
